case_id,key,type,src,poster
arkhipova,m0,image,cases/case1/6570737630.webp,
arkhipova,m1,image,cases/case1/6570851128.webp,
arkhipova,m2,image,cases/case1/6570851138.webp,
arkhipova,m3,image,cases/case1/6570851139.webp,
milend,m0,image,cases/case2/7262595526.webp,
milend,m1,image,cases/case2/6573448610.webp,
milend,m2,image,cases/case2/6573448588.webp,
milend,m3,image,cases/case2/6573448582.webp,
svyatoslav,m0,image,cases/case3/6637591232.webp,
svyatoslav,m1,image,cases/case3/6653387438.webp,
svyatoslav,m2,image,cases/case3/6653387439.webp,
svyatoslav,m3,image,cases/case3/6653387440.webp,
dstu,m0,image,cases/case4/9780207997.webp,
dstu,m1,image,cases/case4/9780207979.webp,
dstu,m2,image,cases/case4/9780207817.webp,
dstu,m3,image,cases/case4/9780207804.webp,
vtorygin,m0,image,cases/case5/6538159691.webp,
vtorygin,m1,image,cases/case5/6572630383.webp,
vtorygin,m2,image,cases/case5/6572630385.webp,
vtorygin,m3,image,cases/case5/6572630388.webp,
trimex,m0,image,cases/case6/1.webp,
trimex,m1,image,cases/case6/2.webp,
trimex,m2,image,cases/case6/3.webp,
trimex,m3,image,cases/case6/4.webp,
stroitel,m0,image,cases/case7/1.webp,
stroitel,m1,image,cases/case7/3.webp,
stroitel,m2,image,cases/case7/4.webp,
stroitel,m3,image,cases/case7/6.webp,
donavia,m0,image,cases/case8/1.webp,
donavia,m1,image,cases/case8/2.webp,
donavia,m2,image,cases/case8/3.webp,
donavia,m3,image,cases/case8/4.webp,
smm_brand,m0,image,"cases/case9/Снимок экрана 2026-06-28 182543.png",
smm_brand,m1,image,"cases/case9/Снимок экрана 2026-06-28 183018.png",
smm_brand,m2,image,"cases/case9/Снимок экрана 2026-06-28 183549.png",
smm_brand,m3,image,"cases/case9/Снимок экрана 2026-06-28 183604.png",
fmc,m0,image,"cases/case10/Снимок экрана 2026-06-28 180338.png",
fmc,m1,image,"cases/case10/Снимок экрана 2026-06-28 180438.png",
fmc,m2,image,"cases/case10/Снимок экрана 2026-06-28 192846.png",
fmc,m3,image,"cases/case10/FMC full.jpg",
ux_startup,m0,image,"cases/case11/Снимок экрана 2026-06-28 182453.png",
ux_startup,m1,image,"cases/case11/Снимок экрана 2026-06-28 182651.png",
ux_startup,m2,image,"cases/case11/Снимок экрана 2026-06-28 183035.png",
ux_startup,m3,image,"cases/case11/Снимок экрана 2026-06-28 183647.png",
case12,m0,image,"cases/case12/7 1 коробка лицо.jpg",
case12,m1,image,"cases/case12/2 действия-46.jpg",
case12,m2,image,"cases/case12/4 тыл-04.jpg",
case12,m3,image,"cases/case12/карты-11.jpg",
lagerstrakha,m0,image,"cases/case13/Лагерь страха коробка верх-01.jpg",
lagerstrakha,m1,image,"cases/case13/Лагерь страха карты-06.jpg",
lagerstrakha,m2,image,"cases/case13/Лагерь страха карты тыл-01.jpg",
lagerstrakha,m3,image,"cases/case13/Лагерь страха поле-01.jpg",
giperboreya,m0,image,"cases/case14/гиперборея правила-01.jpg",
giperboreya,m1,image,"cases/case14/гиперборея правила-01.jpg",
giperboreya,m2,image,"cases/case14/гиперборея карты2-14.jpg",
giperboreya,m3,image,"cases/case14/гиперборея игрополе-01.jpg",
